Sender,Message Content,Category
900,"مساء الخير زينب

نوّد فقط إبلاغك بأنك استنفدت ١٠٠٪ من إحدى باقات الانترنت  المفعّلة لديك على الرقم 0531481244 

إسم الباقة:
سوا لايك

يمكنك الاطلاع على تفاصيل استهلاك باقات الإنترنت لديك عن طريق تطبيق mystc عبر الرابط التالي:
https://my.stc/_my_data?data=cD0wNTMxNDgxMjQ0 

أو بالرد على هذه الرسالة بالرمز 2220

يومك سعيد",Telecommunications
900,"شكراً زينب ..
تم إتمام طلبك لتفعيل باقة سوا لايك لرقمك بنجاح.

الرقم المرجعي للمعاملة البنكية: f71bf714-0abb-4ef3-83d6-775f7466bada

يمكنك معرفة الاستخدام الحالي لرقمك بكل سهولة عبر mystc:
https://my.stc/home
أو بالرد بـ ""8888""

يومك سعيد
stc",Telecommunications
900,"عميلنا العزيز 

لقد تم تنفيذ طلبك للإشتراك بباقة سوا لايك  بنجاح، و تم إيقاف خدمة إيزي نت (الدفع حسب الاستخدام)
سيتم تجديد الباقة تلقائيًا بعد 4 أسابيع.

لإلغاء التجديد التلقائي أرسل 7009 إلى 900


للإستعلام عن تفاصيل الباقة أرسل 8888 إلى 900 او عبر تطبيق MySTC.",Telecommunications
900,"شكراً زينب ..
تم استلام طلبك لتفعيل باقة سوا لايك لرقمك.

الرقم المرجعي للمعاملة البنكية: f71bf714-0abb-4ef3-83d6-775f7466bada

*ستصلك رسالة أخرى لاحقاً بعد اكتمال طلبك.

يومك سعيد
stc",Telecommunications
900,"مرحبا زينب 👋

يمكنك الاطلاع على تفاصيل الاستهلاك لديك عن طريق تطبيق mystc عبر الرابط التالي:
https://my.stc/my_data?data=cD01MzE0ODEyNDQ=

تستمتع حالياً باشتراك في🤩

سوا لايك
مفعّلة منذ: 12:03 2024-10-28
صالحة حتى: 12:03 2024-11-26
 إنترنت:  0 / 6 جيجابايت 🌍
واي فاي: 4 / 4 جيجابايت

 لتجديد إشتراكك تلقائيًا 🔁  تأكد من وجود رصيد كافي 📣
سوا لايك",Telecommunications
900,"صباح الخير زينب

نوّد فقط إبلاغك بأنك استنفدت 80٪ من إحدى باقات الانترنت  المفعّلة لديك على الرقم 0531481244 خلال مدة قصيرة!

إسم الباقة:
سوا لايك

لتجنب استنفاد بيانات الإنترنت لديك بسرعة، نقترح تفعيل باقة إنترنت تناسب احتياجك عن طريق تطبيق mystc عبر الرابط التالي:
https://my.stc/_subscriptions?data=cD0wNTMxNDgxMjQ0

أو بالرد على هذه الرسالة بالرمز 2000

يومك سعيد",Telecommunications
900,"يا هلا،
اطلع على رصيدك المتبقي واستهلاك الباقة ومزايا الباقات بكل سهولة عبر تطبيق  mystc:
https://my.stc/home

يومك سعيد 
stc",Telecommunications
900,"مرحبا زينب 👋

يمكنك الاطلاع على تفاصيل الاستهلاك لديك عن طريق تطبيق mystc عبر الرابط التالي:
https://my.stc/my_data?data=cD01MzE0ODEyNDQ=

تستمتع حالياً باشتراك في🤩

سوا لايك
مفعّلة منذ: 12:03 2024-10-28
صالحة حتى: 12:03 2024-11-26
 إنترنت:  3.56 / 6 جيجابايت 🌍
واي فاي: 4 / 4 جيجابايت

 لتجديد إشتراكك تلقائيًا 🔁  تأكد من وجود رصيد كافي 📣
سوا لايك",Telecommunications
900,"مرحبا زينب 👋

يمكنك الاطلاع على تفاصيل الاستهلاك لديك عن طريق تطبيق mystc عبر الرابط التالي:
https://my.stc/my_data?data=cD01MzE0ODEyNDQ=

تستمتع حالياً باشتراك في🤩

سوا لايك
مفعّلة منذ: 12:03 2024-10-28
صالحة حتى: 12:03 2024-11-26
 إنترنت:  6 / 6 جيجابايت 🌍
واي فاي: 4 / 4 جيجابايت

 لتجديد إشتراكك تلقائيًا 🔁  تأكد من وجود رصيد كافي 📣
سوا لايك",Telecommunications
900,"شكراً زينب ..
تم إتمام طلبك لتفعيل باقة سوا لايك لرقمك بنجاح.

الرقم المرجعي للمعاملة البنكية: 54adf7e9-ac91-4064-bbf4-f1cbb6196640

يمكنك معرفة الاستخدام الحالي لرقمك بكل سهولة عبر mystc:
https://my.stc/home
أو بالرد بـ ""8888""

يومك سعيد
stc",Telecommunications
900,"شكراً زينب ..
تم استلام طلبك لتفعيل باقة سوا لايك لرقمك.

الرقم المرجعي للمعاملة البنكية: 54adf7e9-ac91-4064-bbf4-f1cbb6196640

*ستصلك رسالة أخرى لاحقاً بعد اكتمال طلبك.

يومك سعيد
stc",Telecommunications
900,"مرحبا زينب 👋


 لتجديد إشتراكك تلقائيًا 🔁  تأكد من وجود رصيد كافي 📣
سوا لايك بلس",Telecommunications
900,"مرحبا زينب 👋

يمكنك الاطلاع على تفاصيل الاستهلاك لديك عن طريق تطبيق mystc عبر الرابط التالي:
https://my.stc/my_data?data=cD01MzE0ODEyNDQ=

تستمتع حالياً باشتراك في🤩

لايك بلس
مفعّلة منذ: 10:15 2024-09-29
صالحة حتى: 10:15 2024-10-28
 دقائق محلية:  486 / 500 📞
 إنترنت:  3.83 / 15 جيجابايت 🌍
 سوشال : 11.83 / 15 جيجابايت 📲

 لتجديد إشتراكك تلقائيًا 🔁  تأكد من وجود رصيد كافي 📣
سوا لايك بلس",Telecommunications
900,"مساء الخير زينب

نأمل التأكد من تجديد اشتراكك بباقة لايك بلس قبل 31-10-2024 حتى لا تفصل الخدمة

أي رصيد مسترد سيتم فقده في حال عدم تجديد الباقة قبل إنتهاء صلاحية الرصيد 
للاستعلام عن الرصيد المسترد، أرسل 166 الى 900

يومك سعيد",Telecommunications
900,"صباح الخير زينب

 27-10-2024سيتجدد بشكل تلقائي بتاريخ لايك بلس اشتراكك في باقة

فضلاً تأكد من توفر رصيد كافي قبل هذا التاريخ حتى نتمكن من تجديد اشتراكك

يومك سعيد",Telecommunications
900,"Najla Alhomaid:	8888٩٠٠:	مرحبا زينب 👋

يمكنك الاطلاع على تفاصيل الاستهلاك لديك عن طريق تطبيق mystc عبر الرابط التالي:
https://my.stc/my_data?data=cD01MzE0ODEyNDQ=

تستمتع حالياً باشتراك في🤩

لايك بلس
مفعّلة منذ: 09:23 2024-09-01
صالحة حتى: 09:23 2024-09-30
 دقائق محلية:  483 / 500 📞
 إنترنت:  5 / 15 جيجابايت 🌍
 سوشال : 10.77 / 15 جيجابايت 📲

لايك بلس
مفعّلة منذ: 10:15 2024-09-29
صالحة حتى: 10:15 2024-10-28
 دقائق محلية:  500 / 500 📞
 إنترنت:  15 / 15 جيجابايت 🌍
 سوشال : 15 / 15 جيجابايت 📲

 لتجديد إشتراكك تلقائيًا 🔁  تأكد من وجود رصيد كافي 📣
سوا لايك بلس",Telecommunications
900,"شكراً زينب ..
تم إتمام طلبك لتفعيل باقة سوا لايك بلس لرقمك بنجاح.

الرقم المرجعي للمعاملة البنكية: d470783e-6c2a-4d9f-8b19-39f233ce7d32

يمكنك معرفة الاستخدام الحالي لرقمك بكل سهولة عبر mystc:
https://my.stc/home
أو بالرد بـ ""8888""

يومك سعيد
stc",Telecommunications
900,"شكراً زينب ..
تم استلام طلبك لتفعيل باقة سوا لايك بلس لرقمك.

الرقم المرجعي للمعاملة البنكية: d470783e-6c2a-4d9f-8b19-39f233ce7d32

*ستصلك رسالة أخرى لاحقاً بعد اكتمال طلبك.

يومك سعيد
stc",Telecommunications
900,"صباح الخير زينب

 29-09-2024سيتجدد بشكل تلقائي بتاريخ لايك بلس اشتراكك في باقة

فضلاً تأكد من توفر رصيد كافي قبل هذا التاريخ حتى نتمكن من تجديد اشتراكك

يومك سعيد",Telecommunications
900,"مرحبا زينب 👋

يمكنك الاطلاع على تفاصيل الاستهلاك لديك عن طريق تطبيق mystc عبر الرابط التالي:
https://my.stc/my_data?data=cD01MzE0ODEyNDQ=

تستمتع حالياً باشتراك في🤩

لايك بلس
مفعّلة منذ: 09:23 2024-09-01
صالحة حتى: 09:23 2024-09-30
 دقائق محلية:  490 / 500 📞
 إنترنت:  .24 / 10 جيجابايت 🌍
 سوشال : 8.98 / 12 جيجابايت 📲

 لتجديد إشتراكك تلقائيًا 🔁  تأكد من وجود رصيد كافي 📣
سوا لايك بلس",Telecommunications
900,"صباح الخير زينب

نوّد فقط إبلاغك بأنك استنفدت ١٠٠٪ من إحدى باقات الانترنت  المفعّلة لديك على الرقم 0531481244 

إسم الباقة:
لايك بلس

يمكنك الاطلاع على تفاصيل استهلاك باقات الإنترنت لديك عن طريق تطبيق mystc عبر الرابط التالي:
https://my.stc/_my_data?data=cD0wNTMxNDgxMjQ0 

أو بالرد على هذه الرسالة بالرمز 2220

يومك سعيد",Telecommunications
900,"مساء الخير زينب

نوّد فقط إبلاغك بأنك استنفدت 80٪ من إحدى باقات الانترنت  المفعّلة لديك على الرقم 0531481244 خلال مدة قصيرة!

إسم الباقة:
لايك بلس

لتجنب استنفاد بيانات الإنترنت لديك بسرعة، نقترح تفعيل باقة إنترنت تناسب احتياجك عن طريق تطبيق mystc عبر الرابط التالي:
https://my.stc/_subscriptions?data=cD0wNTMxNDgxMjQ0

أو بالرد على هذه الرسالة بالرمز 2000

يومك سعيد",Telecommunications
900,"مساء الخير زينب

نوّد فقط إبلاغك بأنك استنفدت 50٪ من إحدى باقات الانترنت  المفعّلة لديك على الرقم 0531481244 خلال مدة قصيرة!

إسم الباقة:
لايك بلس

لتجنب استنفاد بيانات الإنترنت لديك بسرعة، نقترح تفعيل باقة إنترنت تناسب احتياجك عن طريق تطبيق mystc عبر الرابط التالي:
https://my.stc/_subscriptions?data=cD0wNTMxNDgxMjQ0

أو بالرد على هذه الرسالة بالرمز 2000

يومك سعيد",Telecommunications
Juva-AD,"في السعودية، كل الأحلام تصبح حقيقة🇸🇦
⁧‫#كاس_العالم_2034",Promotional
Juva-AD,"عروض جوفا فرايدي بدأت
ولمدة 5 أيام فقط 


للحجز والاستفسار:
920031633",Promotional
Juva-AD,"يومين وتنتهي عروضنا لليوم الوطني
استثمريها صح
للحجز
wa.me/966556866553",Promotional
Juva-AD,"الان بدأت عروض اليوم الوطني في جوڤا الحقو عليها

 للحجز
 920031633",Promotional
CPHI ME,"فرصتك الاخيرة لحضور CPHI الشرق الأوسط, لا تفوت الفرصة bit.ly/CPHIMED3",Conferences and Events
CPHI ME,شارك في نقاشات صناع القرار في CPHI! بادر بالتسجيل bit.ly/CPHIME2,Conferences and Events
CPHI ME,دعوة لحضور حفل افتتاح معرض CPHI بقيادة وزير الصحة:bit.ly/CPHIME24D0,Conferences and Events
Qitaf-AD,"اهلا،

استمتع بخصم 25% لدى المفتاح لتأجير السيارت على الايجار اليومي من خلال الموقع والتطبيق فقط، يسري العرض حتى (16-12-2024) للحصول على العرض مقابل 20 نقطة أرسل 116703 الى 900 
- تطبق الشروط والأحكام.

 للمزيد من عروض قطاف:
 https://my.stc/qitaf_offer 

يومك سعيد

stc",Promotional
Qitaf-AD,"يا هلا،

مع شريك قطاف نعناع ، اكسب نقطة قطاف مقابل كل 20 ريال تدفعها في التطبيق  ، كما يمكنك الدفع لمشترياتك من خلال نقاطك في قطاف.

 لاكتساب النقاط أو الدفع من خلالها، استخدم رقم جوالك المسجل في قطاف.
للمزيد قم بزيارة الرابط
https://www.nana.sa/ar

للمزيد عن عروضنا  تابعنا على
https://whatsapp.com/channel/0029VaHvrvHADTOFC504QL02

يومك سعيد
stc",Promotional
Qitaf-AD,"ياهلا،

استمتع بخصم 25% لدى المفتاح لتأجير السيارت على الايجار اليومي من خلال الموقع والتطبيق فقط، يسري العرض حتى (16-12-2024) للحصول على العرض مقابل 20 نقطة أرسل 116703 الى 900 
- تطبق الشروط والأحكام.

 للمزيد من عروض قطاف:
 https://my.stc/qitaf_offer 

يومك سعيد

stc",Promotional
Qitaf-AD,"ياهلا،

استمتع بخصم 18% لدى شريكنا شي إن على جميع المنتجات .
 للحصول على العرض مقابل 15 نقاط أرسل 207101 الى 900

 للمزيد من عروض قطاف:
 https://my.stc/qitaf_offer 

يومك سعيد
stc",Promotional
Qitaf-AD,"يا هلا
نقاطك مضاعفة!
اكسب ضعف النقاط من قطاف مع مجموعة البركات للبصريات والسمعيات، يمكنك الآن الحصول على 2 نقاط قطاف بدلاً من نقطة واحدة لكل 20 ريال تنفقها.

يسري العرض حتى 05-12-2024

للمزيد:
https://my.stc/earn-points

يومك سعيد
stc",Promotional
Qitaf-AD,"جمّعت أميال كثيرة وما تعرف كيف تستفيد منها! ✈️

بخطوات بسيطة، حوّل أميالك في برنامج الفرسان إلى نقاط قطاف واستخدمها في سداد الفواتير، شحن الرصيد، أو حتى التسوق من مجموعة الشركاء 🛍️

حوّلها الآن عبر الرابط التالي:
https://alfursan.saudia.com/

*الحد الأقصى للعملية الواحدة 12,000 ميل ويمكن تكرار العمليات.

يومك سعيد
stc",Promotional
Qitaf-AD,"ياهلا،

مع شريك قطاف العربية للعود، اكسب نقطة قطاف مقابل كل 10 ريال تدفعها، كما يمكنك الدفع لمشترياتك من خلال نقاطك في قطاف.

لاكتساب النقاط أو الدفع من خلالها، استخدم رقم جوالك المسجل في قطاف.
للمزيد قم بزيارة الرابط
https://my.stc/qitaf_all_partners

يومك سعيد
stc",Promotional
Qitaf-AD,"Hello,

Celebrate Saudi National day with amazing qitaf offers!✨
Eat sweets at AANI & DANI and earn 2 qitaf points for every 10 SAR you pay.

*The offer is for a limited time till 27 September 2024

For more National day offers:
https://stc.sa/qitafofferen

Have a great day
stc",Promotional
Qitaf-AD,"ياهلا،

احتفل باليوم الوطني 🇸🇦 مع عروض قطاف الخيالية! ✨
احصل على 50% نقاط إضافية على التحويل من نقاط أجواء في بنك الجزيرة الى نقاط قطاف.

*العرض لفترة محدودة من 20 حتى 27 سبتمبر 2024.

للمزيد عن عروض اليوم الوطني:
https://stc.sa/qitafofferar

يومك سعيد
stc",Promotional
Qitaf-AD,"ياهلا،

احتفل باليوم الوطني 🇸🇦 مع عروض قطاف الخيالية! ✨
شبّع جوعك مع أبل بيز واحصل على 3 نقاط قطاف لكل 10 ريال تدفعها.

*العرض لفترة محدودة من 20  حتى 30 سبتمبر 2024

للمزيد عن عروض اليوم الوطني:
https://stc.sa/qitafofferar

يومك سعيد
stc",Promotional
Qitaf-AD,"ياهلا،

احتفل باليوم الوطني 🇸🇦 مع عروض قطاف الخيالية! ✨
حلّي من سعد الدين واحصل على 3 نقاط قطاف لكل 10 ريال تدفعها.

*العرض لفترة محدودة حتى 30 سبتمبر 2024

للمزيد عن عروض اليوم الوطني:
https://stc.sa/qitafofferar

يومك سعيد
stc",Promotional
Qitaf-AD,"ياهلا،

احتفل باليوم الوطني 🇸🇦 مع عروض قطاف الخيالية! ✨
استأجر سيارتك من يلو واحصل على 3 نقاط قطاف لكل 10 ريال تدفعها.

*العرض لفترة محدودة حتى 30 سبتمبر 2024

للمزيد عن عروض اليوم الوطني:
https://stc.sa/qitafofferar

يومك سعيد
stc",Promotional
Qitaf-AD,"ياهلا بعميل التميّز،

ودك تميّز سيارتك؟

ميّزناك بخصم خاص بالتميّز في VIP كار لاونج بنسبة 30% على جميع الخدمات

للحصول على كود تفعيل الخصم زود الموظف برقمك وأخبره أنك عميل تميّز.

لزيارة موقع الشريك: 
https://vipcarlounge.com/

للمزيد عن مزايا التميّز: https://my.stc/tamayouz-card
يومك سعيد
stc",Promotional
Qitaf-AD,"جاهز  تجمّع نقاط قطاف؟ 🤩 💜
الآن تقدر تجمّع نقاط من خلال طلباتك في تطبيق جاهز
فقط اختر قطاف عند الدفع وبتكسب 1 نقطة لكل 24 ريال تدفعها. 
ويمكنك أيضاً تحويل نقاطك من قطاف إلى رصيد في جاهز للدفع بها. 

للمزيد: 
https://jahez.link/8TkUdMtC3Cb

يومك سعيد
stc",Promotional
Qitaf-AD,"ياهلا بعميل التميّز،

التميّز ما ينسى صحتك!
ميّزناك بخصم خاص بالتميّز في نادي إنترفل بلس بنسبة 40% على جميع العضويات

للحصول على كود تفعيل الخصم زود الموظف برقمك وأخبره أنك عميل تميّز.

لزيارة موقع الشريك: 
https://intervalplus.com/ar/

للمزيد عن مزايا التميّز: https://my.stc/tamayouz-card
يومك سعيد
stc",Promotional
Qitaf-AD,"ياهلا،

استمتع بخصم 30% بحد أقصى 15 ريال على مشوارين لكل مستخدم  لدى شريكنا  بولت ، يسري العرض حتى (14-10-2024)
للحصول على العرض مقابل 15 نقاط أرسل 232901 الى 900 

 للمزيد من عروض قطاف:
 https://my.stc/qitaf_offer 

يومك سعيد
stc",Promotional
Qitaf-AD,"ياهلا،

استمتع بخصم إضافي 10% على نظارات شمسية مختارة لدى شريكنا نظارات دكتور ام، يسري العرض حتى (15-09-2024م) 
للحصول على العرض مقابل 10 نقطة أرسل 119902 الى 900

للمزيد من عروض قطاف:
https://my.stc/qitaf_offer 

يومك سعيد
stc",Promotional
Qitaf-AD,"ياهلا،

 احصل على 150 نقطة لعب بـ 150 ريال بدلاً من 750 ريال لدى شريكنا تشكي تشيز ، يسري العرض حتى (30-09-2024م) 
للحصول على العرض مقابل 10 نقطة أرسل 201503 الى 900

 للمزيد من عروض قطاف:
 https://my.stc/qitaf_offer 
 
يومك سعيد
stc",Promotional
MBCDream-AD,"حلم منMBC: عد تنازلي مزدوج - ذهب وملايين الريالات!

> 10 عملات ذهب هذا الأسبوع
> 3,750,000 ر.س هذا الشهر
تأهل للسحبين بمشاركة واحدة!

أرسل أمل إلى 858888
أو انقر على https://mydream.mbc.net/ar858888
6 ريال/رسالة - أرسل أمل إلى 858888 الآن.",Promotional
MBCDream-AD,"حلم من MBC: انتبه - موعد سحب  للــ 375,000 ر.س قرب!
ممكن تغير حياتك يوم 05/12!

 والسحب على الــ 3,750,000 ر.س قرب !

أرسل أمل عشان تتأهل للسحبين بمشاركة واحدة فقط.
أرسل أمل إلى 858888
أو انقر على https://mydream.mbc.net/ar858888
6 ريال/رسالة - أسرع!",Promotional
MBCDream-AD,"حلم من MBC: ممكن تربح الـ 3,750,000 ر.س وتعيش حياة أكثر امان واكثر راحة!

 لا تنسى فيه: 375,000 ر.س تنتظر كل شهر!

أرسل أمل للمشاركة في السحبين.

أرسل أمل إلى 858888
أو انقر على https://mydream.mbc.net/ar858888
6 ريال/رسالة - أسرع!",Promotional
MBCDream-AD,"حلم منMBC: السحب الشهري على 375,000 ر.س يوم 03/10! 
بيت - سيارة - سفر.. وأكتر! اذا ربحت تقدر تصرف الكاش على كيفك! 

متخّيل!! بمشاركة وحدة راح تتأهل للسحبين!! الـ 375,000 ر.س الشهري يوم 03/10، و جائزة الـ 3,750,000 ر.س الكبرى! 

أرسل أمل إلى 858888
أو اضغط https://mydream.mbc.net/ar858888

6 ريال/رسالة",Promotional
MBCDream-AD,"حلم منMBC : عرض ثلاثي - عرض محدود!
أرسل أمل إلى 858888 لتتأهل في سحبين على 375,000 ر.س وأكبر سحب على 3,750,000 ر.س!
3 سحوبات بمشاركة واحدة بس!

أرسل أمل إلى 858888
أو اضغط https://mydream.mbc.net/ar858888

6 ريال/رسالة - أسرع!",Promotional
MBCDream-AD,"حلم منMBC : العد التنازلي النهائي - 3,750,000 ر.س يوم 18/07!

3 أشخاص ربحوا 3,750,000 ر.س مع حلم!
قد يكون دورك لتغير حياتك قريبا!

أرسل أمل إلى 858888
أو اضغط https://mydream.mbc.net/ar858888

6 ريال/رسالة - أسرع!",Promotional
MBCDream-AD,"حلم منMBC: إحلم، تجرأ وشارك ل3,750,000 ر.س وأكتر!

بمشاركة واحدة بس، تأهل لجائزة ال 3,750,000 ر.س الكبرى ولسحب ال375,000 ر.س الشهري!

أرسل أمل إلى 858888
أو اضغط https://mydream.mbc.net/ar858888

6 ريال/رسالة",Promotional
MBCDream-AD,"حلم منMBC: الفرص العظيمة لا تنتظر اكثر!

شارك الآن وقد تكون أنت رابح جائزة ال3,750,000 ر.س الكبرى! راح تتأهل كمان لسحب ال375,000 ر.س الشهري وسحب إضافي على كيلو ذهب يوم 30/05 كعرض لفترة محدودة!

أرسل أمل إلى 858888
أو اضغط https://mydream.mbc.net/ar858888

6 ريال/رسالة - أسرع!",Promotional
MBCDream-AD,"حلم منMBC: لا تفوت الفرصة - 375,000 ر.س يوم 2/5!

شارك لل3,750,000 ر.س وراح تتاهل ل 375,000 ر.س يوم 2/5!
شارك في السحبين الآن!

أرسل أمل إلى 858888
أو اضغط https://mydream.mbc.net/ar858888

6 ريال/رسالة - أسرع!",Promotional
MBCDream-AD,"حلم منMBC: العد التنازلي النهائي لـ 375,000 ر.س!

شارك لل3,750,000 ر.س وراح تتاهل ل 375,000 ر.س يوم 2/5!
يعني بمشاركة واحدة تتأهل في سحبين!

أرسل أمل إلى 858888
أو اضغط https://mydream.mbc.net/ar858888

6 ريال/رسالة - أسرع!",Promotional
MBCDream-AD,"حلم منMBC: السحب الشهري على 375,000 ر.س يوم 07/03!
بيت - سيارة - رحلات وأكتر! تقدر تصرف الكاش على كيفك إذا ربحت!

مشاركة واحدة بتأهلك بسحبين، ال 375,000 ر.س الشهري يوم 07/03، و جائزة ال3,750,000 ر.س الكبرى!

أرسل أمل إلى 858888
أو اضغط https://mydream.mbc.net/ar858888 
6 ريال/رسالة",Promotional
MBCDream-AD,"حلم منMBC:أنت مدعو للمشاركة مجانا بسحب ال375,000 ر.س القادم!
 
انقر https://dream.mbc.net/j/?channel=1&p=14 و شارك مجانا!

 عرض حصري فقط حتى يوم التأسيس في 22/02 - أسرع!",Promotional
MBCDream-AD,"حلم منMBC: حلم رجعت بموسم 2024 مع جوائز أكبر لأن أحلامك تستاهل أكتر!

جهز نفسك لموسم فيه أكتر من 3,800,000$ كاش بالمجموع! قد تربح:

> سحب شهري على 100,000$
> سحب بمليون دولار

شارك الآن ولا تروح عليك أي سحب!

اشتراكك اليومي الفعّال سيزيد فرصك يوميا وستتأهل لسحوبات حلم القادمة.

أرسل انضم إلى 801940 أو انقر  http://onmbc.net/6182HcbBI
التكلفة : 2.88 ريال/اليوم",Promotional
CPHI,"أيام قليلة على انطلاق معرض الدواء العالمي CPHI الشرق الأوسط! 
اكتشف أحدث الابتكارات الدوائية مع أكثر من 150 خبير بالمجال 
احصل على ساعات تعليم طبي مستمر معتمدة، وتواصل مع أكثر من 400 علامة تجارية من كبرى شركات الدواء الدولية والمحلية.
لا تفوت فرصة الحضور المجاني للحدث الأهم في مجال الدواء لهذا العام من 10- 12 ديسمبر 
بمركز واجهة الرياض للمعارض والمؤتمرات 

سجّل الآن:
  bit.ly/CPHIME-MOH",Conferences and Events
CPHI,"سينطلق الحدث الدوائي الأهم في قلب الرياض!
المملكة تستضيف معرض CPHI الشرق الأوسط لتعزيز الابتكار والشراكات في القطاع الدوائي.
بمشاركة متوقعة لأكثر من 30 ألف زائر 450 علامة تجارية
أكثر من 100 دولة
ساعات تعليم طبي مستمر 

🗓️ | 10 - 12 ديسمبر
📍 | مركز الرياض للمعارض والمؤتمرات - واجهة روشن

سجل حضورك:
https://bit.ly/Cphi24Reg",Conferences and Events
MOH,"لماذا نطعم أطفالنا ضد الحصبة؟ 
يعتبر مرض الحصبة شديد العدوى، والحل الأمثل للوقاية هو التطعيم.
حتى وإن سبق تطعيمه، تأكد من حصولهم على الجرعة الحالية؛ لتعزيز مناعتهم ضد المرض. 

للتطعيم، قم بزيارة أحد مراكز الرعاية الصحية الأولية. 
مع تحيات وزارة الصحة.",Governmental
MOH,"نحو مستقبل دوائي واعد هدفه صحة الإنسان

تستضيف المملكة العربية السعودية الحدث الدوائي العالمي “معرض CPHI الشرق الأوسط” بهدف تعزيز الوقاية ضد المخاطر الصحية وتبادل الخبرات العالمية.

🗓 | 12 – 10 ديسمبر 
📍 | مركز الرياض للمعارض والمؤتمرات - واجهة روشن

لا تفوّت فرصة الحضور، وسجّل الآن:

https://s.moh.gov.sa/CPHI2024

مع تحيات وزارة الصحة",Governmental
MOH,"لصحتكم وصحة من تحبون
إذا كنت من الفئات الأكثر عرضة (٥٠ سنة فأكثر، الحوامل، الأطفال دون ٥ سنوات، المصابون بالأمراض المزمنة أو نقص المناعة)، لا تنتظر. 
 
احصل على لقاح الإنفلونزا الموسمية اليوم لحماية نفسك من المضاعفات. 
 
احجز الآن عبر تطبيق صحتي
 
مع تحيات وزارة الصحة",Governmental
MOH,"لا تنسَ، موسمها بدأ. 
بإمكانك التطعيم ضد الإنفلونزا الموسمية الآن، لوقاية شاملة - بإذن الله - من مضاعفاتها وأعراضها طوال موسم الشتاء.
 
احجز موعدك الآن عبر تطبيق صحتي
 
مع تحيات وزارة الصحة.",Governmental
MOH,"لا تفوتوا فرصة حضور ملتقى الصحة العالمي بمشاركة:
+1,200 علامة تجارية
+500  متحدث عالمي
+100  ساعة من التعليم الطبي المستمر
+60  شركة ناشئة
 
وجوائز بقيمة تتجاوز 2,000,000 ريال
 
🗓️| 21 - 23 أكتوبر 2024
📍| مركز الرياض للمعارض والمؤتمرات - ملهم
سجّل الآن:
🔗| https://globalhealthexpo.info/STC2",Conferences and Events
MOH,"تحت شعار ""استثمر في الصحة""؛ يعود ملتقى الصحة العالمي في الرياض

بمشاركة:
+1,200 علامة تجارية
+1,000 مستثمر
+500 متحدث عالمي
+100 ساعة من التعليم الطبي المستمر
+60 شركة ناشئة
🗓️| 21 - 23 أكتوبر 2024
📍مركز الرياض للمعارض والمؤتمرات - ملهم

سجّل الآن:
https://globalhealthexpo.info/STC1",Conferences and Events
MOH,"بدأ الموسم وتوفّر اللقاح
 
بادر بأخذ لقاح الإنفلونزا الموسمية؛ لتخفيف أعراضها ومضاعفات المرض الشديدة.
 
متاح الآن عبر تطبيق صحتي
 
مع تحيات وزارة الصحة",Governmental
MOH,"إذا كنت من مواليد 1974م فما قبل
بادر بأخذ لقاح الحزام الناري واحجز موعدك من خلال تطبيق ""صحتي""

مع تحيات وزارة الصحة.",Governmental
SADA-AD,"ياهلا،

مع خدمة صدى، اشترك في نغمة "" التجوال"" وعيش أجواء السفر!
للحصول على النغمة؛ أرسل 44421  للرقم 1616 

رسوم خدمة صدى: 5 ريال شهرياً (أسبوع مجاني للمشتركين الجدد)
رسوم النغمة: 5 ريال شهريا

للمزيد عن صدى ونغماتها؛ الرجاء زيارة:
https://my.stc/sada

يومك سعيد
stc",Promotional
SADA-AD,"ياهلا،

مع خدمة صدى، سمّع متصليك أجمل الأدعية

للحصول على دعاء (دعاء الوطن ) أرسل 10111326  للرقم 1616

رسوم خدمة صدى: 5 ريال شهريًا (أسبوع مجاني للمشتركين الجدد) 
رسوم النغمة: 5 ريال شهريًا 

للمزيد عن صدى ونغماتها الرجاء زيارة mystc:
https://my.stc/sada

يومك سعيد",Promotional
SADA-AD,"""ياهلا،

وطننا في قلوبنا..
وذكرى تأسيسه فخر لنا.
 
مع خدمة ""صدى"" سمّع متصليك نغمة النشيد الوطني  في ذكرى يوم التأسيس
 
للحصول على النغمة أرسل 444116  للرقم 1616
 
رسوم خدمة ""صدى"": 5 ريال شهريًا (أسبوع مجاني للمشتركين الجدد)
رسوم النغمة: 5 ريال شهريًا
 
يومك سعيد.
stc""",Promotional
DHL,DHL Express 3091534526 from LICHI ORIENT TR estimated Thu Dec 05. Signature required. Manage delivery: https://del.dhl.com/SA/0j-on-dJFV2,Stores
AlBlorg-AD,"صحتي البرونزي
299ريال
+
السكر التراكمي والغدة الدرقية مجانا
920004422",Promotional
AlBlorg-AD,"عــروض الصـيــف..
بدءا من ١٩٩ ريال
اتصل الآن
مختبرات البرج
920004422",Promotional
AlBlorg-AD,"مددنا عروضنا!!
ليوم التأسيس
بدءًا من 122 ريال
لغاية 9 مارس
920004422",Promotional
